date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2021-04-09,987334.130295271,4717819.507075185,994267.6559958032,5636008.584221771,989047.4132001972,5635998.931820358,988758.0632858833,4838793.368513798,41783082.87666785,3045749.991168118,925307.2115702247,41294824.481700666
2021-04-10,993985.5602080438,4967545.083030716,1000439.0352658932,5843625.326660063,995473.057931871,5843621.786508085,995571.9031328281,5024205.520190247,41955280.56122267,3045749.995510293,925307.2115706748,41294824.48192036
2021-04-11,1000786.9267639248,5193485.2311167335,1006681.8486048292,6049995.816617207,1002058.0575881455,6049996.805748997,1002493.9614719345,5213056.487321377,42060886.951749444,3045749.995876396,925307.2115710891,41294824.481624655
2021-04-12,1007690.521505758,5397905.600210075,1012995.3098681705,6255126.970256231,1008797.1544249785,6255130.432865224,1009521.0519587967,5405216.11740519,42124414.04872128,3045749.9959060354,925307.2115714701,41294824.48172613
2021-04-13,1014749.2786428988,5582855.995972472,1019378.4376472255,6459025.669603924,1015684.1712481006,6459029.108351952,1016649.5617618716,5600587.895325655,42162163.18540842,3045749.995908458,925307.2115718198,41294824.48195431
2021-04-14,1022066.996686763,5750190.949526741,1025830.0924529207,6661698.763707307,1022712.0229227571,6661699.274836126,1023875.2828195958,5799100.270074482,42184540.90896068,3045749.9959086655,925307.2115721403,41294824.48121984
2021-04-15,1029581.0116301556,5901588.325001629,1032349.0089591554,6863153.069686664,1029872.7630883043,6863147.382026853,1031193.4149436237,6000700.928096902,42197879.361583196,3045749.9959086846,925307.2115724336,41294824.48150448
2021-04-16,1037191.7699106394,6038566.15312068,1038933.8112444003,7063395.373456293,1037157.6417923459,7063379.891098361,1038598.5853575014,6205351.775727799,42205919.78732316,3045749.995908687,925307.2115727019,41294824.48156555
2021-04-17,1044947.4889311488,6339247.04758012,1045583.0330079678,7262432.430527865,1044557.1913515019,7262403.278766723,1046084.9225899141,6413025.244619692,42210841.31399916,3045749.995908687,925307.211572947,41294824.481377386
2021-04-18,1052761.02889981,6611290.447564602,1052295.1272197433,7460270.966601023,1052061.323631118,7460224.040682341,1053646.0595797515,6623701.41609456,42213908.60310892,3045749.995908687,925307.2115731706,41294824.481279396
2021-04-19,1060517.3584952925,6857423.954606414,1059068.4714180413,7656917.678057944,1059659.450549763,7656848.6943362355,1061275.206221313,6837365.857783743,42215858.386971995,3045749.995908687,925307.2115733746,41294824.482027896
2021-04-20,1068321.5487430964,7080115.358551733,1065901.3838558912,7852379.232654191,1067340.6078083946,7852283.781079176,1068965.3062639686,7054007.962662305,42217123.702568725,3045749.995908687,925307.2115735604,41294824.48162836
2021-04-21,1076193.0429129335,7281597.38880764,1072792.1226592602,8046662.269870083,1075093.5924884689,8046535.867471276,1076708.9500626386,7273619.657663006,42217962.26703779,3045749.995908687,925307.2115737298,41294824.481611006
2021-04-22,1084163.5277543191,7463890.107007336,1079738.8900079129,8239773.401344372,1082907.1053084377,8239611.545812434,1084498.495945227,7496194.43510391,42218529.748601876,3045749.995908687,925307.2115738838,41294824.481796585
2021-04-23,1092139.0038171348,7628821.165959899,1086739.8410172968,8431719.211386224,1090769.8971110282,8431517.43389115,1092326.1094089116,7721726.571659212,42218921.720472224,3045749.995908687,925307.211574024,41294824.481918104
2021-04-24,1100116.9966872395,7962575.708459048,1093793.0841741953,8622506.25730903,1098670.9130528043,8622260.173886532,1100183.7797033906,7950210.5251459675,42219197.87594008,3045749.995908687,925307.2115741514,41294824.481206484
2021-04-25,1108033.2669055045,8264543.432634173,1100896.6784324613,8812141.069684623,1106599.4332307496,8811846.430471856,1108063.355777536,8181640.513382442,42219396.15909473,3045749.995908687,925307.2115742672,41294824.48145865
2021-04-26,1115852.836279765,8537751.776317308,1108048.6433295622,9000630.152837217,1114545.20899369,9000282.888200883,1115956.6301320593,8416010.198093826,42219541.11698473,3045749.995908687,925307.2115743725,41294824.48155832
