date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2022-02-06,3001034.326968447,13592153.353479488,2958061.689454312,12667524.895545095,2995752.01226458,12658806.825680094,3004824.513446054,13005593.750033509,2135708.982207246,42112508.72619339,12345414.96618964,3872092.4758910867
2022-02-07,3016268.295828595,13828073.510290967,2978962.588090074,12877150.134949159,3011277.8761795787,12868333.870683236,3020487.2680241955,13240407.155310301,2136089.738476967,42112508.72620324,13077176.259654945,3872093.4556632773
2022-02-08,3031073.981940157,14041525.080739446,2999546.1104679843,13085097.634429434,3026334.6975739948,13076219.81728154,3035517.87825046,13472226.631856337,2136437.380827433,42112508.726235494,13837553.569361875,3872094.418205014
2022-02-09,3045453.03127919,14234647.930192832,3019810.073785977,13291382.123993145,3040934.4587285696,13282480.028073436,3049931.9705999848,13701097.577536043,2136754.79375729,42112508.72623719,14624709.70028175,3872095.362176423
2022-02-10,3059365.21877641,14409378.127317324,3039752.597352237,13496018.231580218,3055086.5647480045,13487129.669583833,3063745.7025043718,13927065.551836988,2137044.613237308,42112508.726210274,15436405.858889816,3872096.286282481
2022-02-11,3072809.5788929425,14567467.353287105,3059372.1023268905,13699020.481813122,3068798.0073891114,13690183.73058695,3076975.6812767317,14150176.075153124,2137309.247267778,42112508.726194285,16270000.423166916,3872097.1892884364
2022-02-12,3085713.9047126626,14710500.462497856,3078667.2931609373,13900403.294338778,3082073.543282124,13891657.039397098,3089638.8370341863,14370474.420905381,2137550.8949278737,42112508.72621345,17122479.6999795,3872098.0700377184
2022-02-13,3097871.05664479,14914203.275593296,3097637.155074294,14100180.982663032,3094915.861954121,14091564.279261196,3101752.3294609315,14588005.491418798,2137771.5639907815,42112508.726197,17990485.881303295,3872098.927467588
2022-02-14,3109515.051250048,15098505.820774889,3116280.9577120757,14298367.753219832,3107325.7847137093,14289920.002882421,3113333.4673999925,14802813.701038945,2137973.0871768105,42112508.72620762,18870362.537106313,3872099.7606245345
2022-02-15,3120756.47494052,15265255.74260585,3134598.2383832857,14494977.703979883,3119302.4618977387,14486738.644972911,3124399.6057038866,15014942.880531946,2138157.1371226823,42112508.72624296,19758212.912244417,3872100.5686784126
2022-02-16,3131620.8106604703,15416124.719500532,3152588.7970507992,14690024.823440483,3130843.5963321174,14682034.533472573,3134968.095313851,15224436.231561419,2138325.240147496,42112508.72622788,20649968.114074428,3872101.3509346726
2022-02-17,3142162.7334547117,15552625.222405242,3170252.696593583,14883522.989826491,3141945.684860444,14875821.899040382,3145056.205466525,15431336.276199084,2138478.788895557,42112508.72620512,21541462.12170891,3872102.1068441123
2022-02-18,3152307.235030453,15676125.677414266,3187590.250671104,15075485.970042363,3152604.2719053365,15068114.882504825,3154681.069890283,15635684.826877533,2138619.053933695,42112508.72618829,22428512.637466695,3872102.836010016
2022-02-19,3162058.1650275527,15787864.184327193,3204602.0064326106,15265927.418563776,3162814.2388455276,15258927.540829819,3163859.641135269,15837522.961567437,2138747.1943803974,42112508.72621397,23307002.08058289,3872103.538192089
2022-02-20,3171234.6255011195,15926537.500105556,3221288.754986536,15454860.877125865,3172570.1022307994,15448273.850758988,3172608.6305835214,16036891.005894417,2138864.2676387285,42112508.72622419,24172960.25924746,3872104.213307679
2022-02-21,3179975.0421200604,16052003.833428835,3237651.5128553193,15642299.77372884,3181866.3397769677,15636167.710637426,3180944.4855503244,16233828.53835053,2138971.238299604,42112508.7262104,25022638.190428294,3872104.8614293328
2022-02-22,3188512.9428705308,16165520.9921499,3253691.5141764907,15828257.42199602,3190697.7130289157,15822622.93956337,3188883.346244003,16428374.388246737,2139068.986282264,42112508.72622108,25852576.789713413,3872105.4827797064
2022-02-23,3196922.376882861,16268226.99289753,3269410.209097296,16012747.020763539,3199059.6085968507,16007653.274632514,3196441.020923544,16620566.634074029,2139158.314273937,42112508.72621366,26659661.493385587,3872106.0777231916
2022-02-24,3205124.340989256,16361151.469764432,3284809.254187885,16195781.653533937,3206948.4106648485,16191272.366796704,3203632.9647866874,16810442.611227803,2139239.9545244514,42112508.72618586,27441168.931099437,3872106.646755764
2022-02-25,3213135.4513712307,16445225.996453537,3299890.493391719,16377374.287754254,3214361.809823452,16373493.772954643,3210474.249716273,16998038.920167096,2139314.5750495223,42112508.72620475,28194794.706576426,3872107.1904920656
2022-02-26,3220870.836954923,16521293.425362725,3314655.9658751353,16557537.774859533,3221299.1349115497,16554330.947133472,3216979.5597103685,17183391.43902505,2139382.785291868,42112508.726239465,28918670.916397803,3872107.7096515284
2022-02-27,3228175.328673501,16614150.337232938,3329107.888834187,16736284.849734858,3227761.65460791,16733797.229707697,3223163.17119283,17366535.334134787,2139445.1412860886,42112508.72622613,29611366.6345602,3872108.205042949
2022-02-28,3235418.249752216,16698163.733686944,3343248.6515035555,16913628.130533326,3233752.8260547956,16911905.83459804,3229038.94667689,17547505.072924837,2139502.1503695454,42112508.726200946,30271880.208610367,3872108.677549287
2022-03-01,3242466.987871052,16774175.854288189,3357080.8086045673,17089580.11854377,3239278.5032748925,17088669.835435983,3234620.3294074945,17726334.4375635,2139554.2754785903,42112508.72621187,30899616.280459743,3872109.1281117178
