pair,lag_days,correlation
intervention_m_vs_daily_cases,13,0.9931933680091208
intervention_m_vs_daily_cases,14,0.9942779490958782
intervention_m_vs_daily_cases,15,0.9898655491220786
intervention_m_vs_daily_cases,16,0.9798508791222361
intervention_m_vs_daily_cases,17,0.964586355354175
intervention_m_vs_daily_cases,18,0.9459659025018397
intervention_m_vs_daily_cases,19,0.924455286866337
intervention_m_vs_daily_cases,20,0.8987083711640956
intervention_m_vs_daily_cases,21,0.8699259596981583
intervention_m_vs_daily_cases,22,0.8358866368944182
intervention_m_vs_daily_cases,23,0.7919820399104274
intervention_m_vs_daily_cases,24,0.7397265663263078
intervention_m_vs_daily_cases,25,0.678806260096949
intervention_m_vs_daily_cases,26,0.6100678516897833
intervention_m_vs_daily_cases,27,0.529143925861775
intervention_m_vs_daily_cases,28,0.4354181474772333
intervention_m_vs_daily_cases,29,0.32568317983743034
intervention_m_vs_daily_cases,30,0.19870698028699413
vaccine_m_vs_daily_vaccinations,-30,-0.657173595681727
vaccine_m_vs_daily_vaccinations,-29,-0.6859409587757127
vaccine_m_vs_daily_vaccinations,-28,-0.7032058958142509
vaccine_m_vs_daily_vaccinations,-27,-0.7082658062239731
vaccine_m_vs_daily_vaccinations,-26,-0.7006903465433933
vaccine_m_vs_daily_vaccinations,-25,-0.6802239748142597
vaccine_m_vs_daily_vaccinations,-24,-0.646914678728003
vaccine_m_vs_daily_vaccinations,-23,-0.6012431200943542
vaccine_m_vs_daily_vaccinations,-22,-0.6290441696234798
vaccine_m_vs_daily_vaccinations,-21,-0.6457289854206889
vaccine_m_vs_daily_vaccinations,-20,-0.6504559539901164
vaccine_m_vs_daily_vaccinations,-19,-0.6426550718876527
vaccine_m_vs_daily_vaccinations,-18,-0.6219608893784762
vaccine_m_vs_daily_vaccinations,-17,-0.5883520908516051
vaccine_m_vs_daily_vaccinations,-16,-0.5422516197104431
vaccine_m_vs_daily_vaccinations,-15,-0.57175230339352
vaccine_m_vs_daily_vaccinations,-14,-0.5902295001467464
vaccine_m_vs_daily_vaccinations,-13,-0.5969454494899479
vaccine_m_vs_daily_vaccinations,-12,-0.591475029741412
vaccine_m_vs_daily_vaccinations,-11,-0.5735584062035084
vaccine_m_vs_daily_vaccinations,-10,-0.5432005793527355
vaccine_m_vs_daily_vaccinations,-9,-0.5007627473425762
vaccine_m_vs_daily_vaccinations,-8,-0.5216691428048972
vaccine_m_vs_daily_vaccinations,-7,-0.5298835100545145
vaccine_m_vs_daily_vaccinations,-6,-0.5255547778005278
vaccine_m_vs_daily_vaccinations,-5,-0.508775554179488
vaccine_m_vs_daily_vaccinations,-4,-0.47971983603595064
vaccine_m_vs_daily_vaccinations,-3,-0.43880451657388253
vaccine_m_vs_daily_vaccinations,-2,-0.3867856626889681
vaccine_m_vs_daily_vaccinations,-1,-0.4081031885258113
vaccine_m_vs_daily_vaccinations,0,-0.4145210878065082
vaccine_m_vs_daily_vaccinations,1,-0.42126896775200035
vaccine_m_vs_daily_vaccinations,2,-0.3997850670063759
vaccine_m_vs_daily_vaccinations,3,-0.3807379896582654
vaccine_m_vs_daily_vaccinations,4,-0.3648357183387516
vaccine_m_vs_daily_vaccinations,5,-0.3530143941968706
vaccine_m_vs_daily_vaccinations,6,-0.34667252451049213
vaccine_m_vs_daily_vaccinations,7,-0.3157892546008163
vaccine_m_vs_daily_vaccinations,8,-0.2868953195211347
vaccine_m_vs_daily_vaccinations,9,-0.26114494205482386
vaccine_m_vs_daily_vaccinations,10,-0.2396873025726566
vaccine_m_vs_daily_vaccinations,11,-0.22393795665151214
vaccine_m_vs_daily_vaccinations,12,-0.21586963672749804
vaccine_m_vs_daily_vaccinations,13,-0.21851395395591308
vaccine_m_vs_daily_vaccinations,14,-0.16993072699490916
vaccine_m_vs_daily_vaccinations,15,-0.12518860341965557
vaccine_m_vs_daily_vaccinations,16,-0.08663973902717419
vaccine_m_vs_daily_vaccinations,17,-0.05666824767869429
vaccine_m_vs_daily_vaccinations,18,-0.03816271160430403
vaccine_m_vs_daily_vaccinations,19,-0.0349673695111622
vaccine_m_vs_daily_vaccinations,20,-0.052577757513293195
vaccine_m_vs_daily_vaccinations,21,0.036471677897883276
vaccine_m_vs_daily_vaccinations,22,0.11157897437870626
vaccine_m_vs_daily_vaccinations,23,0.1679993378714159
vaccine_m_vs_daily_vaccinations,24,0.2026460979251554
vaccine_m_vs_daily_vaccinations,25,0.21342925990770942
vaccine_m_vs_daily_vaccinations,26,0.19856683392422
vaccine_m_vs_daily_vaccinations,27,0.15551212213155408
vaccine_m_vs_daily_vaccinations,28,0.25943439239037297
vaccine_m_vs_daily_vaccinations,29,0.3316067842350722
vaccine_m_vs_daily_vaccinations,30,0.3726923170444702
