pair,lag_days,correlation
vaccine_m_vs_nu,11,0.39082765616972764
vaccine_m_vs_nu,12,0.2771720342864048
vaccine_m_vs_nu,13,0.15202909045879412
vaccine_m_vs_nu,14,0.019436287049196175
vaccine_m_vs_nu,15,-0.11586503977399615
vaccine_m_vs_nu,16,-0.24887975622593775
vaccine_m_vs_nu,17,-0.37486643791687857
vaccine_m_vs_nu,18,-0.4897887526240877
vaccine_m_vs_nu,19,-0.5906314482930264
vaccine_m_vs_nu,20,-0.675545611510059
vaccine_m_vs_nu,21,-0.7438121084392058
vaccine_m_vs_nu,22,-0.7956632574435751
vaccine_m_vs_nu,23,-0.8320674587149993
vaccine_m_vs_nu,24,-0.854429568820944
vaccine_m_vs_nu,25,-0.8643527205164018
vaccine_m_vs_nu,26,-0.8634100469853736
vaccine_m_vs_nu,27,-0.8529774635010244
vaccine_m_vs_nu,28,-0.8341405873789142
vaccine_m_vs_nu,29,-0.8076598800008631
vaccine_m_vs_nu,30,-0.7740113333218432
vaccine_c_vs_nu,-30,-0.9512023374024311
vaccine_c_vs_nu,-29,-0.9369075145230292
vaccine_c_vs_nu,-28,-0.9172782436383398
vaccine_c_vs_nu,-27,-0.8914557286323966
vaccine_c_vs_nu,-26,-0.8584911982882095
vaccine_c_vs_nu,-25,-0.8174305135401395
vaccine_c_vs_nu,-24,-0.767452975584974
vaccine_c_vs_nu,-23,-0.7080028552663158
vaccine_c_vs_nu,-22,-0.6389389091131694
vaccine_c_vs_nu,-21,-0.5606911315566272
vaccine_c_vs_nu,-20,-0.4743342961970603
vaccine_c_vs_nu,-19,-0.3815687144172969
vaccine_c_vs_nu,-18,-0.284588228846883
vaccine_c_vs_nu,-17,-0.18584233019681057
vaccine_c_vs_nu,-16,-0.08778246186544414
vaccine_c_vs_nu,-15,0.007363377571391916
vaccine_c_vs_nu,-14,0.09775830446963478
vaccine_c_vs_nu,-13,0.18203168720065363
vaccine_c_vs_nu,-12,0.2593130453985326
vaccine_c_vs_nu,-11,0.3292560052340534
vaccine_c_vs_nu,-10,0.39211001620790953
vaccine_c_vs_nu,-9,0.448854530537878
vaccine_c_vs_nu,-8,0.5013848889840058
vaccine_c_vs_nu,-7,0.5526553600299459
vaccine_c_vs_nu,-6,0.6064751412326512
vaccine_c_vs_nu,-5,0.6664810624377613
vaccine_c_vs_nu,-4,0.7335902489004291
vaccine_c_vs_nu,-3,0.8023417019472459
vaccine_c_vs_nu,-2,0.8394544266126425
vaccine_c_vs_nu,-1,0.8152555799412831
vaccine_c_vs_nu,0,0.6842381728458234
vaccine_c_vs_nu,1,0.6971190216108569
vaccine_c_vs_nu,2,0.7045242915255571
vaccine_c_vs_nu,3,0.7044248118123603
vaccine_c_vs_nu,4,0.6944324164588399
vaccine_c_vs_nu,5,0.6719350106806647
vaccine_c_vs_nu,6,0.6343618240353025
vaccine_c_vs_nu,7,0.5795729163346164
vaccine_c_vs_nu,8,0.5063327583588418
vaccine_c_vs_nu,9,0.41474606582756096
vaccine_c_vs_nu,10,0.30654025196461687
vaccine_c_vs_nu,11,0.18504821622206924
vaccine_c_vs_nu,12,0.05484578846013623
vaccine_c_vs_nu,13,-0.07883849940709996
vaccine_c_vs_nu,14,-0.21078431117683966
vaccine_c_vs_nu,15,-0.3363671098117758
vaccine_c_vs_nu,16,-0.4519079840782456
vaccine_c_vs_nu,17,-0.5547828309931959
vaccine_c_vs_nu,18,-0.6433850701942168
vaccine_c_vs_nu,19,-0.7169777867952277
vaccine_c_vs_nu,20,-0.7755292925898712
vaccine_c_vs_nu,21,-0.8195483080291991
vaccine_c_vs_nu,22,-0.8499247447328734
vaccine_c_vs_nu,23,-0.8678358455937168
vaccine_c_vs_nu,24,-0.8745973759147174
vaccine_c_vs_nu,25,-0.8715534146161228
vaccine_c_vs_nu,26,-0.8599595539065643
vaccine_c_vs_nu,27,-0.8408791830617609
vaccine_c_vs_nu,28,-0.8151170705479085
vaccine_c_vs_nu,29,-0.7832165473308897
vaccine_c_vs_nu,30,-0.7455112295646799
intervention_m_vs_daily_cases,-30,0.5736523884858211
intervention_m_vs_daily_cases,-29,0.5083021010259787
intervention_m_vs_daily_cases,-28,0.4324721986690991
intervention_m_vs_daily_cases,-27,0.3514100545444702
intervention_m_vs_daily_cases,-26,0.2696019646893955
intervention_m_vs_daily_cases,-25,0.18976030796278082
intervention_m_vs_daily_cases,-24,0.11416689225809395
intervention_m_vs_daily_cases,-23,0.04372586717181336
intervention_m_vs_daily_cases,-22,-0.02197478037016166
intervention_m_vs_daily_cases,-21,-0.08338396923458535
intervention_m_vs_daily_cases,-20,-0.1405141680358947
intervention_m_vs_daily_cases,-19,-0.19349533081149065
intervention_m_vs_daily_cases,-18,-0.24266111342492871
intervention_m_vs_daily_cases,-17,-0.28825331212309374
intervention_m_vs_daily_cases,-16,-0.33034028514925723
intervention_m_vs_daily_cases,-15,-0.36973198741251895
intervention_m_vs_daily_cases,-14,-0.4068349365684606
intervention_m_vs_daily_cases,-13,-0.4418409606949029
